ticker,last_date_x,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason,cagr,max_dd,winrate,n_days,n_trades,last_date_y
HCLTECH.NS,2025-09-12,2025-09-12,1467.2,0.348,True,isotonic,0.55,False,SELL,1494.4,1426.4,27.197,48.187,2977209,Technology,Information Technology Services,1.5,False,False,False,False,0.0185,True,True,,,0.0,0.0,0.0,1239,0,2025-09-12
INDHOTEL.NS,2025-09-12,2025-09-12,777.7,0.508,True,isotonic,0.47,True,BUY,764.09,798.11,13.608,56.446,2198518,Consumer Cyclical,Lodging,1.5,False,False,True,True,0.0175,True,True,MIS,low confidence,0.0,0.0,0.0,1226,0,2025-09-12
IREDA.NS,2025-09-12,2025-09-12,147.35,0.346,True,sigmoid,0.45,False,SELL,150.25,142.99,2.905,51.332,4501156,Financial Services,Credit Services,1.5,False,False,False,False,0.0197,True,True,,,0.0,0.0,0.0,431,0,2025-09-12
SUPREMEIND.NS,2025-09-12,2025-09-12,4532.7,0.153,True,isotonic,0.7,True,HOLD,,,118.259,54.666,172092,Industrials,Building Products & Equipment,,False,True,False,True,0.0261,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
COLPAL.NS,2025-09-12,2025-09-12,2353.7,0.466,True,isotonic,0.46,True,HOLD,2301.85,2431.48,51.853,51.438,743228,Consumer Defensive,Household & Personal Products,1.5,False,False,True,False,0.022,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
NAVINFLUOR.NS,2025-09-12,2025-09-12,4791.0,0.472,True,isotonic,0.47,False,SELL,4921.9,4594.65,130.898,47.233,87562,Basic Materials,Chemicals,1.5,False,False,False,True,0.0273,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
GOKEX.BO,2025-09-12,2025-09-12,766.25,0.704,True,isotonic,0.59,False,HOLD,,,34.164,51.056,56359,Consumer Cyclical,Apparel Manufacturing,,False,False,False,False,0.0446,True,True,,,0.0,0.0,0.0,1204,0,2025-09-12
TIINDIA.NS,2025-09-12,2025-09-12,3231.2,0.462,True,isotonic,0.6,True,HOLD,,,93.222,63.408,408085,Industrials,Conglomerates,,False,False,False,True,0.0289,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
OIL.NS,2025-09-12,2025-09-12,398.4,0.72,True,isotonic,0.7,False,HOLD,,,8.987,43.19,1495372,Energy,Oil & Gas Integrated,,False,False,False,False,0.0226,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
TATAELXSI.NS,2025-09-12,2025-09-12,5721.5,0.455,True,isotonic,0.48,False,SELL,5855.24,5520.89,133.741,53.998,166711,Technology,Software - Application,1.5,False,False,False,False,0.0234,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
LAURUSLABS.NS,2025-09-12,2025-09-12,896.05,0.615,True,isotonic,0.69,True,HOLD,,,20.049,64.392,1266115,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0224,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
IRCTC.NS,2025-09-12,2025-09-12,722.2,0.561,True,isotonic,0.58,False,HOLD,,,9.231,50.931,669613,Industrials,Railroads,,False,False,False,False,0.0128,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
INFY.NS,2025-09-12,2025-09-12,1525.6,0.5,True,isotonic,0.55,False,HOLD,,,31.841,55.788,7236641,Technology,Information Technology Services,,False,True,False,False,0.0209,True,True,,,0.0,0.0,0.0,1239,0,2025-09-12
ZYDUSLIFE.NS,2025-09-12,2025-09-12,1044.75,0.477,True,isotonic,0.7,True,HOLD,,,20.232,69.146,1090057,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0194,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
TATACOMM.NS,2025-09-12,2025-09-12,1614.0,0.654,True,isotonic,0.68,False,HOLD,,,37.858,51.588,579856,Communication Services,Telecom Services,,False,False,False,False,0.0235,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
IEX.NS,2025-09-12,2025-09-12,144.84,0.522,True,isotonic,0.56,False,HOLD,,,3.622,48.342,5248102,Financial Services,Capital Markets,,False,False,False,False,0.025,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
HINDPETRO.NS,2025-09-12,2025-09-12,398.75,0.698,True,isotonic,0.45,False,HOLD,,,8.706,53.204,2866398,Energy,Oil & Gas Refining & Marketing,,False,False,False,True,0.0218,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
MUTHOOTFIN.NS,2025-09-12,2025-09-12,2926.2,0.45,True,isotonic,0.69,True,HOLD,,,64.853,68.203,523747,Financial Services,Credit Services,,False,False,False,True,0.0222,True,True,,,0.0,0.0,0.0,1226,0,2025-09-12
